Polisemna lema;Stavek
material;"9031 Instrumenti, aparati in stroji za merjenje ali kontrolo, ki niso omenjeni in ne zajeti na drugem mestu v tem poglavju; projektorji profilov Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40%cene izdelka franko tovarna. "
material;9032 Instrumenti in aparati za avtomatično regulacijo ali krmiljenje Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40%cene izdelka franko tovarna. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 30%cene izdelka franko tovarna. 
material;- vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 30% cene izdelka franko tovarna. 
material;- se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka, in
material;- se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka, in
material;Potem boste morali najti še kakšnega mizarja, pravega ali ljubiteljskega, najverjetneje upokojenega, ki mu ne bo odveč, da bi se malo poigral z neobičajnim materialom. 
material;Potem boste morali najti še kakšnega mizarja, pravega ali ljubiteljskega, najverjetneje upokojenega, ki mu ne bo odveč, da bi se malo poigral z neobičajnim materialom. 
material;Značilen gradbeni material je spet bazalt, čeprav so uporabljali tudi korale. 
material;Mutacija je trajna sprememba zgradbe ali množine genskega materiala, ki se prenaša na hčerinske celice oziroma se deduje na potomce. 
material;Zobozdravniki namreč pri posegih za zdravljenje nekaterih bolezni zob uporabljajo materiale, ki vsebujejo snovi, od katerih nekatere pospešujejo rast glivic in tako omogočajo tvorbo najpogostejše vrste glivičnih okužb sinusa - micetoma. 
material;Pri materialih, ki so prihajali iz Hanforda in Oak Ridgea, so morali najprej ugotoviti, kakšna je kritična masa plutonija oziroma urana 235. 
material;Vstavijo ga v sredo cepljivega materiala implozijske bombe, ki ima obliko krogle. 
material;gorivo in gradbeni material 307.9 kJ leto -1
material;Ne glede na prvi odstavek se materiali brez porekla, ki se v skladu z v seznamu danimi pogoji za ta izdelek ne bi smeli uporabiti pri izdelavi tega izdelka, vseeno lahko uporabijo pod pogojem:
material;"(c) dokumenti, ki dokazujejo postopek obdelave ali predelave materialov v eni od pogodbenic, izdani ali izdelani v tej pogodbenici, kjer se uporabljajo v skladu z domačim pravom;"
material;- materiali za izdelavo papirja in papir
material;6.2 Brez vpliva na opombo 6.3 se materiali, ki se ne uvrščajo v 50. do 63. poglavje, lahko prosto uporabljajo pri izdelavi tekstilnih izdelkov, ne glede na to, ali vsebujejo tekstil ali ne.
material;- vrednost kateregakoli uporabljenega materiala iz 17.poglavja ne presega 30% cene izdelka franko tovarna. 
material;"1901 Sladni ekstrakt; živila iz moke, zdroba, škroba ali sladnega ekstrakta, brez dodatka kakava ali z dodatkom kakava v količini manj kot 40%ut. računano na osnovo, ki ne vsebuje maščob, ki niso navedena in ne omenjena na drugem mestu; živila iz materiala iz tar.št. "
material;"- iz materialov, ki niso uvrščeni v tar.št.1806;"
material;Druge operacije, pri katerih se vsi uporabljeni materiali uvrščajo v drugo tar.št., kot je tar.št.izdelka. 
material;Lahko se uporabijo materiali, ki so uvrščeni v isto tar.št. pod pogojem, da njihova vrednost ne presega 50% cene proizvodov franko tovarna.
material;- Pridobljeni iz amikacina iz tar. št. 2941 Izdelava, pri kateri se vsi uporabljeni materiali uvrščajo v drugo tar.št., kot je tar.št. izdelka. 
material;Lahko se uporabljajo materiali iz tar. št. 3003 ali 3004 pod pogojem, da njihova skupna vrednost ne presega 20% cene izdelka franko tovarna.
material;-se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka. 
material;- Drugo Izdelava iz materialov iz katerekoli tar.št., razen tistih iz tar. št. 1108. 
material;"Razstreliva; pirotehnični izdelki; vžigalice; piroforne zlitine; določene vnetljive snovi Izdelava, pri kateri se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka. "
material;Lahko se uporabljajo materiali, ki so uvrščeni v isto tar. št. pod pogojem, da njihova vrednost ne presega 20% cene izdelka franko tovarna. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna. ex 37.pgl. 
material;"Izdelki za fotografske in kinematografske namene; razen: Izdelava, pri kateri se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka. "
material;Lahko se uporabljajo materiali, ki so uvrščeni v isto tar. št. pod pogojem, da njihova vrednost ne presega 20% cene izdelka franko tovarna. 
material;- Grafit v obliki paste kot mešanica grafita z mineralnimi olji z več kot 30% grafita po teži Izdelava, pri kateri vrednost vseh uporabljenih materialov iz tar. št. 3403 ne presega 20% cene izdelka franko tovarna. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna. ex 3803 Rafinirano tal-olje Rafiniranje surovega tal-olja. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna. ex 3805 Sulfatna terpentinska olja, prečiščena Prečiščevanje z destilacijo ali rafiniranjem surovega sulfatnega terpentinskega olja. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna. ex 3806 Smolni estri Izdelava iz smolnih kislin. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna ex 3807 Lesni katran (lesna katranska smola) Destilacija lesnega katrana. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna. 
material;3808 Insekticidi, rodenticidi, fungicidi, herbicidi, sredstva zoper klitje, sredstva za urejanje rasti rastlin, dezinfektanti in podobni izdelki, pripravljeni v oblikah ali pakiranjih za prodajo na drobno ali kot preparati ali kot izdelki (npr. žveplani trakovi, stenji, sveče in muholovke) Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 50% cene izdelka franko tovarna. 
material;3809 Sredstva za dodelavo, nosilci barv, sredstva za pospeševanje barvanja in fiksiranje barvil ter drugi izdelki (npr. sredstva za apreturo in jedkanje), ki se uporabljajo v tekstilni, papirni, usnjarski in podobnih industrijah, ki niso omenjeni in ne zajeti na drugem mestu Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 50% cene izdelka franko tovarna. 
material;Sulfonaftenske kisline, njihove v vodi netopne soli in njihovi estri Izdelava, pri kateri se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka. 
material;Materiali, ki se uvrščajo v isto tar. št. kot je proizvod se lahko uporabljajo, pod pogojem, da njihova vrednost ne presega 20% cene izdelka franko tovarna. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna. Fuzelno in dipelovo olje
material;5004 do ex 5006 Svilena preja in preja iz odpadkov svile Izdelava iz:(Posebni pogoji, ki veljajo za proizvode iz mešanice tekstilnih materialov, so navedeni v Uvodni opombi 5.)
material;- kemičnih materialov ali tekstilne kaše, ali
material;"ex 53.pgl. Druga rastlinska tekstilna vlakna; papirna preja in tkanine iz papirne preje; razen: Izdelava, pri kateri se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka."
material;- materialov za izdelavo papirja.
material;- materialov za proizvodnjo papirja.
material;- kemičnih materialov ali tekstilne kaše.
material;- kemičnih materialov ali tekstilne kaše,
material;"6505 Klobuki in druga pokrivala, iz pletiv ali pleteni ali izdelani iz čipke, klobučevine ali drugih tekstilnih proizvodov (razen trakov), tudi okrašene ali podložene; mrežice za lase iz kakršnegakoli materiala, okrašeni ali podloženi ali ne Izdelava iz preje ali tekstilnih vlaken (11Glej Uvodno opombo 6.)"
material;7013 Stekleni izdelki za namizno in kuhinjsko uporabo, za toaletne namene, v pisarnah, izdelki za notranjo dekoracijo in podobne namene (razen tistih iz tar. št. 7010 ali 7018) Izdelava, pri kateri se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka.
material;Izdelava iz delov navadne kovine, neprekritih niti ne prevlečenih s plemenitimi kovinami pod pogojem, da vrednost vseh uporabljenih materialov ne presega 50% cene izdelka franko tovarna.
material;ex 7315 Verige zoper drsenje Izdelava, pri kateri vrednost vseh uporabljenih materialov iz tar. št. 7315 ne presega 50% cene izdelka franko tovarna.
material;- se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka. 
material;8001 Kositer, surov Izdelava, pri kateri se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar. št. izdelka. 
material;- se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar.št. izdelka, in
material;ex 8401 Gorilni elementi (polnjenja) Izdelava, pri kateri so vsi uporabljeni materiali uvrščeni v drugo tar. št., kot je tar.št. izdelka (1To pravilo se bo uporabljalo do 31.decembra 1998). 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 30% cene izdelka franko tovarna. 
material;- se vsi uporabljeni materiali uvrščajo v drugo tar. št., kot je tar.št. izdelka, in
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna.
material;- pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene franko tovarna, in
material;8439 Stroji za proizvodnjo kaše iz vlaknastih celuloznih materialov ali za proizvodnjo ali dovrševanje papirja ali kartona Izdelava:
material;- pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene franko tovarna, in
material;- pri kateri vrednost vseh uporabljenih materialov ne presega 40% cene izdelka franko tovarna, in
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 25% cene izdelka franko tovarna. 
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 30%cene izdelka franko tovarna. 
material;"9015 Geodetski (vštevši fotogrametrijski), hidrografski, oceanografski, hidrološki, meteorološki ali geofizikalni instrumenti in aparati, razen kompasov; daljinomeri Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40%cene izdelka franko tovarna. "
material;9016 Tehtnice z občutljivostjo do vključno 5 centigramov (o,o5g) , z utežmi ali brez njih Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40%cene izdelka franko tovarna. 
material;"9017 Instrumenti in aparati za risanje, označevanje ali matematično računanje (npr. risalni aparati, Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40%cene izdelka franko tovarna. pantografi, kotomeri, risalni pribor v kompletu, logaritemska računala, računala v obliki okrogle plošče); ročni instrumenti za merjenje dolžine (npr. merilne palice in trakovi, mikrometrska merila, merila z nonijem), ki niso omenjeni in ne zajeti na drugem mestu v tem poglavju 9018 Medicinski, kirurški, zobozdravniški in veterinarski instrumenti in aparati, vštevši scintigrafske, elektromedicinske aparate in aparate za preiskavo vida:"
material;- Deli in pribor Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 40%cene izdelka franko tovarna.
material;Izdelava, pri kateri vrednost vseh uporabljenih materialov ne presega 30%cene izdelka franko tovarna. 
material;V ponvi, ki ni iz neoprijemajočega se materiala, zmešamo sok, lupino limet, sladkor in pektin in kuhamo. 
material;Lučke na sliki so iz umetnega materiala, pobarvanega kot omet in na zid samo pripete. 
material;Ležišče naj bo mehkejše, zračno, iz naravnih materialov. 
material;Polnilo je lahko umetni material, vendar naj ne vsebuje alergenih snovi. 
material;Opremili so jih z dragimi kovinami (zlatom, bronom) in drugimi materiali (slonovino, dragim lesom). 
material;Pozanimajte se, iz katerih materialov je narejena (morda ste alergični na katerega od njih).
material;Njihova predstavnica Nataša Tavčar, ki je prejšnji teden Petri in Kristini simbolično predala palete gradbenega materiala, pravi:
material;Ob tem začutijo težo, hladnost in površino materiala. 
material;Material
material;Bila je iz takega materiala, da je dajala občutek globine. 
material;Ekstrakcija je preparativna metoda, v primeru bioloških materialov je ekstrakcijski sistem navadno tekoče-tekoče ali trdno-tekoče.
material;Za prvo je znani primer vrednotenje encimske aktivnosti različnih bioloških materialov (serum, urin, itd.) v medicini in veterini v diagnostične namene. 
material;1) Izračunaj delež trehaloze v izhodnem materialu!
material;Specifikacija kanalskega materiala.
material;Sedemsto dvajset ur posnetega materiala za polurno oddajo. 
material;Žrela ugaslih in spečih ognjenikov so praviloma zapolnjena s strjeno lavo ali pa jih je zasul prej izvrženi ognjeniški material ali kasneje erozija. 
material;Manjša teža je posledica novih materialov in tanjših sten palice. 
material;Spomladanskega roka splošne mature iz materialov se je tako udeležilo samo 14 kandidatov. 
material;Naša glavna ugotovitev je, da je neobhodno potreben učbenik za predmet materiali. 
material;Torej, ker nismo dobili nobenih materialov za to sejo, sem že predpostavljal, da bo nekaj treščilo in je. 
material;Če boste kupili novo delovno mizo, naj bo narejena iz kvalitetnih materialov in nastavljiva po višini, da bo »rasla« z otrokom.
material;Primerni so tudi za večerne priložnosti, če so izdelani iz materialov, namenjenih takim oblačilom, in ustreznih barv. 
material;Obnovam in predstavitvam izolacijskih materialov in stavbnega pohištva so namreč namenili veliko sejemskega prostora, razstavljavci pa so radi svetovali in marsikomu pomagali iz zadrege. 
material;Katera si ne želi dneva preživeti v oblačilih iz prijetnega materiala, ki je bil včasih rezerviran le za trenirke? 
material;Tisti, ki se ukvarjajo s tekstilom, točno vedo, kako se kakšen material obnese in tudi 'obnaša' pri različnih temperaturah. 
material;Lahko jo oblečeš k debelim zimskim materialom, na primer tvidu. 
material;Poudarila je še, da so narejeni iz izjemno kakovostnih materialov, ki so za nogo vsaj tako blagodejni kot usnje. 
material;Materiala je za nekaj let! 
material;Posebej pomembno je, da pozna vzgojno delo in značilnosti izvendružinske vzgoje, saj bo tako lažje razumel poklicne zadrege in probleme, ki jih supervizirani v procesu supervizije izpostavljajo v svojih “materialih”. 
material;Centralno ogrevanje, plinske inštalacije, vodovod, sanacije kopalnic izvajamo – nudimo ves material in svetovanje. 
material;Odvoz gradbenega in kosovnega odpadnega materiala, čiščenje podstrešij in kleti. 
material;- pravilnik o higienskih in tehničnih varstvenih ukrepih pri mehaničnem predelovanju in obdelovanju lesa in podobnih materialov (Uradni list FLJR, št. 40/61)
material;NATURA-TRENDY Modne tekstilije za dom iz naravnih materialov in barv ustvarja nadarjena oblikovalka Tanja Zorn Grželj. 
material;Pojma E in D je osvojil pri delu s konkretnim materialom (paličke). 
material;Raw Material Prices Affecting Industry 
material;Gruzinske, azerbajdžanske in albanske osnovne šole namreč fotokopirnih strojev sploh nimajo niti nimajo na voljo sekundarnih materialov ali delovnih zvezkov in učbeniških priročnikov, ki bi jih učitelji uporabljali pri pouku ali jih kot učne liste razmnoževali za učence. 
material;Ne samo da ob zelo nizkih temperaturah postane led krhek, ampak človeka tudi zebe, navkljub vsem najmodernejšim materialom, iz katerih je narejena plezalska obleka. 
material;Najpogosteje so v odejah nekakovostna, cenena polnila iz umetnih materialov. 
material;Posebnost so čevlji z odebeljenim podplatom, ki jih poznamo že iz poletnega obdobja, le da so podplati zaradi večje elegance oblečeni v enak material, iz katerega je tudi čevelj. 
material;V Ljubljani je delovalo 6 ilegalnih tiskarn in številne ciklostilne tehnike, ki so razmnoževale propagandni material, letake, brošure itd., v njih pa so ponarejali tudi dokumente za ilegalce in kurirje. 
material;Topel kokon prijetne domačnosti bodo ustvarile prave barve in materiali, izbrani gurmanski priboljški in seveda prava družba – lahko tudi dobre knjige, najljubšega filma ali zadnje številke Modne!
material;Uniformiranost je omiljena z mehkobo izbranega materiala in mehkimi dodatki.. 
material;Kovinski lesk, retro futuristična pokrivala, novodobni materiali v kovinskih odtenkih grafitne in zlate, moda, ki zre daleč v prihodnost. 
material;Ta material je težko stisniti v majhno gmoto.
material;Džungelski čevlji so oblikovani za mokre razmere, imajo gumijaste podplate ter so iz materiala, ki se hitro suši. 
material;Za opravljanje natančnejših del zadostuje en sam par tankih rokavic (vrhnja dva para si snemite), ki preprečuje, da bi se vam koža na dlaneh sprijela s kovinskim materialom. 
material;Glina je material, ki nosi v sebi neskončne možnosti ustvarjanja. 
material;Ma dajte silolovci, koga to zanima, a zopet nimate materiala za obljavljanje?
material;Janez Janša: SLOVENSKO NARODNO GLEDALIŠČE – Govorni material za poljubno število izvajalcev
material;Edino emajl, ki je pravzaprav steklena prevleka na pločevini, zagotavlja, da se material iz posode ne prenaša v hrano, medtem ko se pri vseh drugih vrstah posode temu ne moremo izogniti. 
material;Izbirate lahko med modeli iz pravega usnja ali takšnimi iz umetnih materialov. 
material;Kolekcijo dopolnijo domiselni modni dodatki, ki jih v večini sestavljajo torbe v raznih oblikah in iz različnih materialov.
material;Reprodukcije iz gradiva / Reproduktionen aus dem Material
material;Kot so povedali člani 4play, se bo priznani producent popolnoma posvetil skupini, saj dodaja, da so pravi material, s katerimi se bo lahko naredilo zelo veliko, seveda s trdim delom. 
material;MATERIAL
material;Za pohištvene programe ki ustrezajo zahtevam certifikata Die grüne Linie se koristi sinergija visoko kakovostnih surovin, najfinejših materialov, vrhunske predelave in dovršenega oblikovanja (izvedbe) za ekskluzivno individualno opremljanje bivalnega okolja in spalnic.
material;Na razstavi Z jaslicami v božični čas je predstavljenih več kot 60 slovenskih jaslic, ki so jih iz različnih materialov ustvarili številni slovenski mojstri in umetniki (večinoma člani Društva ljubiteljev jaslic Slovenije), navdahnjeni od svetopisemskega dogodka rojstva Jezusa Kristusa, v času od sredine 20. stoletja do danes.
material;razvoja in izdelave primarnih referenčnih materialov – standardov
material;"raziskav, razvoja in optimiranja tehnologije izdelave in predelave posebnih zlitin: ležajne zlitine, vodno mazani drsni ležaji, biokompatibilni materiali; dentalne zlitine, steliti, trde in mehke spajke, kovine in zlitine za elektrotehniko na osnovi bakra, aluminija srebra in zlata"
material;Različni kovinski materiali s posebnimi fizikalno kemičnimi lastnostmi
material;V okviru Centra odlicnosti se izvajajo skupni razvojno raziskovalni projekti, katerih rezultati omogocajo ustvarjanje, prenos in obvladovanje novih tehnologij ter razvoj novih tehnologij na treh prednostnih podrocjih: novi materiali, tehnologije vodenja procesov in tehnologije za trajnostno gospodarstvo (predvsem okoljske tehnologije).
material;predmet revizije - različni segmenti poslovanja revidiranca npr: naročanje blaga, materiala in storitev, plače in drugi izdatki, izvajanje nalog, uspešnost doseganja ciljev, transferji, subvencije, način vodenja in izvedbe projekta, delovanje notranjih kontrol, zanesljivost računodskih izkazov, prispevki, takse, spravilnost in smotrnost odločitev, delo posameznih organov, izvajanje predpisov, državne pomoči...
material;Na povezavi http://www.uni-lj.si/e-ucilnica lahko dodiplomski študenti Veterinarske fakultete dostopajo do materialov, obvestil in dejavnosti, ki so jih posamezni predavatelji objavili/pripravili za svoj predmet.
material;V primeru, da izberete prijavo kot gost, morda ne boste videli vseh tistih materialov, ki so jih posamezni predavatelji pripravili.
material;V okviru marketinških aktivnosti so v tem času promocijski material o novi kolekciji Gorenje Ora-Ïto delili tudi po jahtah in jadrnicah.
material;Izbira območij dostave za vložene reklamne materiale:
material;Vsi trenči so narejeni v izbranih belih materialih brez notranje podloge, da je možno videti plasti medvlog in različne načine izdelave.
material;Poleg tega moramo obvladati umetniške tehnike in slikarski material.
material;varstva in upravljanja z okoljem: komunalna oprema, čistilne naprave in sistemi, materiali za gradnjo in zaščito deponi, okoljske storitve in okoljske ustanove in organizacije
material;Poleg osnovnega vabila ste dobili 8. 1. tudi moj predlog razširitve dnevnega reda z novo 1. točko in sicer gre za zahtevo sindikata državnemu organu Slovenije za oceno ustavnosti, kot je razvidno v nadaljevanju iz materiala. 
material;Razstava nam bo z različnimi vizualnimi materiali predstavila dosedanje delovanje Šolske impro lige.
material;Pogodba 2511-06-200510 z MOP, Referenčni laboratorijski material, NIB, Oddelek za biotehnologijo in sistemsko biologijo, Jana Žel
material;Naročnik je v okviru izvajanja okvirnega sporazuma iz prejšnjega odstavka z razpisno dokumentacijo za nabavo laboratorijskega materiala z dne 8.3.2010 (št. predmeta: JN3-OS3/4-LM10) ponudnike, s katerimi je sklenil okvirne sporazume, povabil k oddaji ponudbe za tretje letno obdobje.
material;Ima vse značilnosti krovne blagovne znamke Armani: čiste linije in nežne odtenke, ekskluzivne materiale, dodelane detajle in popolno izdelavo. 
material;Džins, brezčasni material, privlači z detajli in udobjem. 
material;Poleg tega program ponuja znanja o osnovnih fizikalnih in kemijskih lastnostih modernih materialov, kot so polprevodniki, polimeri in tekoči kristali. 
material;Program se naslanja na sinhrotronske tehnike (vrsta uklonskih in spektroskopskih metod), ki predstavljajo najmodernejši pristop k karakterizaciji materialov. 
material;Znanja, ki jih ponuja program, bodo diplomanti lahko uporabili na področjih fizike trdne snovi, elektronike in znanosti o materialih. 
material;Raziskave elektronskih materialov so s stališča osnovnih raziskav izredno zanimivo in relevantno področje. 
material;Poleg tega predstavljajo osnovna izhodišča za raziskave okoljskih materialov hkrati pa so tudi pomembna iz aplikativnega stališča. 
material;Namen predmeta je predstavitev poslovne logistike, katere glavni cilj je planska preskrba podjetja s potrebnim materialom ob optimalnih stroških.
material;Poleg tega bo posvečena posebna pozornost materialom FRP (fiber reinforced polymers), še večje pozornosti pa bodo deležni vidiki, ki se nanašajo na popolno obnovo struktur v njihovi celoti.
material;V današnjem času, še posebej pri problemih povezanih s področjem materialov, pa se vse bolj razvija nova veja tako imenovanih brezmrežnih numeričnih metod. 
material;Skoraj neomejene možnosti imamo pri izbiri materialov, dimenzij in oblik okenskih okvirjev, ki so lahko leseni, plastični, kovinski ali kombinirani les-aluminij. 
material;Zaradi širokega spektra uporabe in enostavnega preoblikovanja, nekaterih ugodnih fizikalnih in kemičnih lastnosti ter energetsko ekonomične predelave plastične mase v praksi že nekaj časa uspešno izpodrivajo klasične materiale kot so steklo, les, papir, kovine.
material;Čeprav Macbeth na prvi pogled ne pripada istemu opusu kot Stroj Hamlet ali Medeja material, je briljanten primer müllerjevske medbesedilnosti.
material;"EDO: To je prostorska lupina, brez vgrajenih materialov, zaželeno brez poda, oken in vrat; sicer se je treba temu dejstvu prilagajati."
material;Torej je dejansko samo genski material umetno narejen.
material;CO PoliMaT bo povezal doslej razpršene kapacitete vodilnih slovenskih raziskovalnih skupin javne sfere in razvojno uspešnih malih, srednjih in velikih podjetij na področju polimernih materialov. 
material;Cilj programa CO je razvoj polimernih materialov za napredne aplikacije v skladu z usmeritvami trajnostnega razvoja in nizkoogljične družbe, in sicer na štirih vsebinskih sklopih: (1) tehnični izdelki za napredne uporabe in energija, (2) premazi in lepila, (3) obnovljivi viri in (4) zdravje. 
material;Več kot 40 vrhunskih strokovnjakov bo z uporabo vrhunske opreme, profesionalnim vodenjem in s podpornimi storitvami realiziralo vsaj 8 mednarodnih patentnih prijav, 55 inovacij od tega 10 v obliki novih tehnoloških postopkov z večjo uporabo obnovljivih virov energije ter 30 novih nizko ogljičnih materialov ter 3 spin off podjetja.
material;Laboratorij za okoljske vede in inženirstvo zagotavlja sledljivost rezultatov svojih meritev preko referenčnih merjenj, pri katerih je kalibracija opreme vezana na uporabo certificiranih referenčnih materialov z dokazano sledljivostjo do primarnega nivoja.
material;Utekočinjen les iz lignoceluloznih materialov, kot so odpadni les, pair, bombaž, in drugo, kjer je glavna sestavina celuloza, smo uporabili kot surovino za sintezo različnih poliestrov, ki se uporabljajo pri izdelavi lepil in poliuretanov. 
material;4116: Development of new material and product application with reuse of thermosets, akronim Thermoset Reuse.
material;Ogledali so si kemijski poskus s tekočim dušikom in Laboratorij za elektrokemijo materialov.
material;Košare imajo leseno dno, ves ostali material pa je izdelan iz leskovih palic. 
material;Mentor pokaže ves postopek priprave potrebnega materiala - izdelava dna, količkov in viter, kar nato poskusijo tudi udeleženci.
material;Za vsak motiv dobijo potrebni material in navodila za izdelavo. 
material;Ne po naročilu in ne za plačilo, temveč po navdihu, ki mu narekuje združevanje razpoložljivih materialov ali novo izdelanih sestavnih elementov v unikatne konstrukcijske različice stolov, ki jih krasi robustnost in trajnost in nosijo samosvoj estetski pečat. 
material;Pripravlja strokovne materiale, prevode in redakcije del tujih avtorjev, pripravlja in izvaja seminarje, sodeluje v projektih v okviru Razvojno- raziskovalnega centra pedagoških iniciativ Korak za korakom in sodeluje na mednarodnih izmenjavah v okviru International Step by Step Association. 
material;Inovativne oblike v kombinaciji s pristnimi kovinskimi materiali ter halogensko osvetlitvijo polepšajo vašo kuhinjo. 
material;Mojca Horvat (ZRC SAZU/ Centro di ricerche scientifiche dell' Accademia slovena delle Scienze e delle Arti ):Leksika iz pomenskega polja »bolezni« v primorski narečni skupini (po gradivu za sla)/ Il lessico della sfera semantica riguardante le malattie nel gruppo dialettale della Primorska (secondo il materiale dello SLA)
material;Seminarje bodo spremljali materiali z vsebinami, ki doslej še niso bile obravnavane.
material;Trdil sem, da je posnetega materiala dovolj. 
material;Hitra rešitev je legalizacija zbiranja odpadnih materialov, vendar bi se morala celotna družba zavedati, da bi to izboljšalo le trenutni položaj. 
material;Drugi največji RTV izdajatelj kabelske produkcije ETV je registriran za glavno dejavnost »trgovine na debelo s kovinskimi proizvodi, instalacijskim materialom, napravami za ogrevanje«, tretje uvrščeni Sky line in četrta Tele-TV sta registrirana za telekomunikacije.
material;Poudarek je vendarle na izboru, ki dokumentarnost vzpostavi z izborom materialov, ki najdejo pot do ekrana, in zamolčanih vsebin.
material;inspekcijski nadzor prometa, transporta in ravnanja z jedrskimi in radioaktivnimi materiali
material;Odsek za nanostrukturne materiale, K7
material;Ker sta oba elektronska mikroskopa dopolnjena z EDS- in/ali WDS-spektroskopijo, omogočata tudi določevanje kemijske sestave preiskovanih materialov. 
material;Zaradi majhnega premera elektronskega curka lahko nedestruktivno analiziramo zgolj nekaj kubičnih mikrometrov materiala, zaradi česar govorimo o t. i. elektronski mikroanalizi. 
material;Kadar nas zanimajo strukturni elementi nanodimenzij, uporabljamo transmisijsko elektronsko mikroskopijo (TEM), ki omogoča celovit vpogled v strukturo preiskovanega materiala.
material;Skupina profesorjev srednjih šol, ki poučujejo programsko enoto materiali na srednjih strojnih šolah v Sloveniji.
material;Področje mojega dela je bilo zasnova naprave z zahtevanimi karakteristikami, kar je zajemalo izbiro primernih materialov, izbira metod za njihovo karakterizacijo, procesov izdelave in postavitev merskih metod za določitev končnih karakteristik elektronke. 
material;Napredek na področju alternativnih elektronskih prikazalnikov je delno zmanjšal vlogo katodnih slikovnih elektronk, a je hkrati napredek na področju procesiranja in materialov omogočal tudi njihov dodatni razvoj. 
material;Evropska šola materialov na Institutu Jožef Stefan
material;Od 7. do 9. februarja 2008 je v Kranjski Gori potekala zimska šola, ki jo na Odseku za nanostrukturne materiale organizirajo v okviru evropskega projekta SSA “Strengthening the Role of Women Scientists in Nano-Science” – Women In Nano. 
material;V zadnjem času se veliko ukvarja s sinteznimi metodami nanokristaličnih delcev, z električno aktivnimi tankimi plastmi za mikrosenzorje in z biokompatibilnimi materiali. 
material;Kot so ugotovile človekoljubne organizacije in posamezniki v ZDA, lahko izraz ključna podpora (material support) zajame tudi dajanje navodil organizacijam, kot je Kurdska delavska stranka (PKK) pri njihovem komuniciranju z ZN glede človekovih pravic.
material;- MERKUR MOJSTER: gradbeni material, les, barve in kemični izdelki, orodje, okovje in vijaki, elektro inštalacije, vodovodne inštalacije, ogrevanje in prezračevanje.
material;"materialih , ki povečujejo kvaliteto bivanja v lastnem domu, kot so izdelki za ureditev okolice;"
material;Beseda bo tekla ob zelo kvalitetnem slikovnem materialu
material;Ostala področja delovanja so gradbena fizika, industrija gradbenega materiala, polizdelkov in montažnih objektov itd.
material;optimiranje - racionaliziranje potrošnje materialov glede na standarde,
material;Večje zahteve so postavljene na oddaljeni del učenja (tečaj mora: dobro določiti cilje izobraževanja, vključiti posebej prilagojen študijski material, ponuditi študentom informacije, omogočiti vaje, motivirati, vključiti napotke za študij in ponuditi učinkovito komunikacijo ter s tem kompenzirati osamelost študentov kot tudi njihove drugačne zahteve glede na študente rednega študijskega programa).
