Stavek,Polisemna lema
"Volanski mehanizem je brezhiben, zato je vozilo lahko vodljivo tudi na razgibanem terenu. ",lahko
"Testo vozilo je imelo poleg veliko dodatkov za večjo varnost tudi senzorje za parkiranje spredaj in zadaj ter navigacijsko napravo, ki nas je brezhibno vodila po Španiji.",imeti
Največ zaslug za izjemno uspešno sezono v lokostrelskem biatlonu imata Mariborčana: selektor dr. Bogdan Pavlin in dvakratni svetovni mladinski prvak Vid Vončina,imeti
Največ zaslug za izjemno uspešno sezono v lokostrelskem biatlonu imata Mariborčana: selektor dr. Bogdan Pavlin in dvakratni svetovni mladinski prvak Vid Vončina,imeti
"Nemci poudarjajo svojo wellness ponudbo, stavijo pa tudi na kongresni turizem in so prepričani, da imajo najcenejše hotele v Evropi. ",imeti
"Dobra predstavitev na tiskovni konferenci je zares dajala vtis, da Slovenija poživlja, kot se glasi slogan naše turistične države, a je v svoji majhnosti na žalost tudi tokrat poživljala razdeljeno v dveh različnih halah, na dveh različnih razstavnih prostorih. ",dajati
Čisto morje omogoča odlične potope med koralnimi grebeni in petsto različnimi vrstami tropskih rib. ,čist
Večina hotelov ponuja klubske počitnice v obliki aranžmajev all inclusive. ,oblika
"Tudi od tod se lahko odpravite po sledeh Majev in si ogledate slovito mesto ruševin Tulum, ki je oddaljeno le uro vožnje z avtomobilom. ",lahko;ura
"Obiščete lahko Cobo, potopljeno mesto v džungli, ki je le 50 kilometrov naprej od Tuluma. ",lahko
"Imeli so prav, prave avtoceste smo včasih videvali le pri zahodnih in severnih sosedih.",imeti
Letno prevozi: 30.000 km,prevoziti
"Ker imam popisano vozilo, padajo na avto različni pogledi. ",imeti
"Tangice, ki kukajo izza pasu si lahko privoščijo le najstnice. ",lahko
"Več zdravil je namreč mogoče dobiti brez recepta, kar pomeni, da se uvaja t. i. samozdravljenje, zato je toliko večja odgovornost in tudi pomen naše dejavnosti,« je poudarila Lilijana Grosek in pri tem spomnila na možnost svetovanja kupcu, ki s samozdravljenjem tudi sam nosi večjo odgovornost za svoje zdravje, zato je toliko bolj pomembno, da prisluhne farmacevtu, ko ga opozori na simptome ali ga pošlje k zdravniku. ",sam
"Vidiku pravičnosti, kot ga je imenovala direktorica Groskova, bo po novem mogoče lažje slediti tudi v lekarni na Gregorčičevi, v celjskem zdravstvenem domu, saj so ob prenovi lekarne, predvsem tistega dela, kjer se izdajajo zdravila, vpeljali nov sistem. ",lahko
"»Ljudje so zadovoljni, saj jim novi sistem omogoča vsaj malo zasebnosti, farmacevt pa tudi lažje ustrezno pouči kupca ali bolnika o uporabi predpisanih zdravil,« je pojasnila direktorica Celjskih lekarn. ",lahko
"V prihodnje bodo pacienti dobili tudi lističe z zaporedno številko, čas, kdaj bodo na vrsti, pa bodo lahko prebrali z ekrana. ",lahko
"Za marsikatero od njih, tudi za NKBM, ki so ji v minulih dneh že zamenjali nadzorni svet, v teh dneh teče pospešeno lobiranje, prav pride vsakdo, ki je voljan zastaviti besedo v korist visoko donečih parol o nacionalnih, lokalnih in kaj vem kakšnih interesih še, da bi vse ostalo, kot je bilo. ",beseda
"V družinskem okolju se boste znašli pred neko odločitvijo, rešitev pa se bo pokazala sama od sebe in zelo spontano, takrat ko jo boste najmanj pričakovali. ",sam
"Vendar poglejte, hodimo po muzejih in občudujemo staro pohištvo, nikoli pa ne zvemo, kdo je to naredil, ker pač ni podpisa,« razmišlja Hus in dodaja: »A strinjamo se, da nam dobro oblikovani obrtni izdelki, ne glede na obdobje, v katerem so nastali, zagotovo dajejo estetski užitek, les pa tudi toplino.« ",dajati
Pri skriti kameri jih je vsakič na voljo več sto in je mnogo lažje. ,lahko
V Sloveniji lahko morda posnamem še kakšnih deset skritih kamer. ,lahko
"Lahko rečem, da smo v Mariboru dobili boj s pesticidi,« je dejal Stanislav Jecelj, direktor Mariborskega vodovoda. ",lahko
Kljub dobremu stanju mariborskega vodovoda pa se lahko pojavijo težave v oskrbi s pitno vodo. ,lahko
"Ponovitev predstave si lahko ogledate nocoj, v soboto, 26. marca, ob 19.30 na Prvem odru.",lahko
"O administrativno-kadrovskih kriterijih je Žičkar pojasnil, da licenčni sistem določa, da mora klub imeti sekretarja, direktorja in finančnega direktorja. ",imeti
"Poleg tega mora imeti klub pogodbe s trenerji prvega moštva in vseh preostalih selekcij, ki morajo imeti ustrezno trenersko izobrazbo in licenco, ter pogodbe z zdravnikom, vodjo varnosti, varnostno službo ...",imeti;imeti
"Če ne želi k zdravniku, ima za to prav gotovo razlog. ",imeti
Lahko se boji diagnoze ali zdravniku ne zaupa. ,lahko
"Morda se je odločil, da bo sam odpravil bolečino. ",sam
"Mogoče pa sploh noče, da bi ga hrbet nehal boleti, ker bi tako izgubil vašo pozornost. ",izgubiti
"Partizanska je mrtva, Svetozarevska brez prave funkcije, peš cona nima pravega začetka. ",mrtev;imeti
"V prazničnih dnevih želodec obremenjujemo z obilico hrane, hkrati pa imamo na voljo tudi več časa za prehranjevanje. ",imeti
"Pri nastanku želodčnih težav imajo pomembno vlogo tudi duševne obremenitve, kot so stresno življenje, razburjenje, jeza in pomanjkanje spanca.",imeti
"Če se želodčne težave kljub vsemu pojavijo, jih lahko hitro in učinkovito ublažimo s tabletami, ki varujejo in zdravijo želodec. ",lahko
"Zdravila, ki nevtralizirajo želodčne kisline in zavirajo delovanje drugih agresivnih dejavnikov, ščitijo želodčno sluznico pred poškodbami z izločanjem sluzi in s spodbujanjem prekrvavitve sluznice.",agresiven
"… ker ljubim dotike, nežne besede ali le poglede, ki so namenjeni le meni",beseda
Letno prevozi: 30.000 km,prevoziti
"Stopil sem bližje k palici in opazil, da se vrvica odvija nežno, čisto počasi: »Zategni,« sem mu svetoval, »lahko, da je riba že gor!«. ",lahko
"»Sam se je ujel!« je vesel, ko je počasi, a vseeno rahlo živčno (pred to ribičijo je njegov najtežji krap tehtal 5 kg) utrujal veliko mrcino. ",sam
"Da lahko na nekatera od teh vprašanj (nikakor ne na vsa), tudi odgovorimo, raziskava, ki vključuje izključno ribe, ne zadostuje. ",lahko
"Na ta način lahko ugotovimo stanje vodnega okolja, kar nam omogoča oceno nosilne kapacitete in istočasno doprinese k čimbolj učinkovitemu upravljanju z vodnim življem. ",lahko
"Pravici otroka do očeta ne morem oporekati, čeprav za otrokov razvoj ni nujno, da mora očetovsko vlogo prevzeti biološki oče; lahko jo prevzame otrokov stric, stari oče, prijatelj … in to se neredko tudi dogaja. ",lahko
"Drugače je z dvostarševsko oz. jedrno družino, ki je danes samo ena izmed oblik sodobnih družin, in s pripisovanjem kakovostnih predznakov tej družini. ",oblika
"In neizpodbitno dejstvo je, ooo ja, da imajo že zdaj tudi v Sloveniji lezbijke družine, v katerih živijo otroci, prav tako, kot so tudi pedri očetje.",imeti
Danska za evropske križe in težave nikoli ni imela posebej radodarne dlani. ,imeti
"Očitno je bilo prelepo, da bi lahko trajalo. ",lahko
Carl Ivar Hagen je s svojo populistično in ksenofobno Stranko napredka pridno zastavljal klasična demagoška vprašanja. Mož je imel dobre živce in ni hotel prehitevati dogodkov. ,imeti
"Govorjena beseda je pač včasih bolj ohlapna in naše izkušnje kažejo, da ljudje včasih ne izrazijo čisto natančno tistega, kar so hoteli reči. ",beseda
"V tem primeru me je tudi zaskrbelo, da se sama nisem izražala dovolj jasno in sta gospod Veronik in zato tudi gospod Bajuk moje vprašanje morda napačno razumela. ",sam
"Spodnji in zgornji del nosilnega okvirja sta zvarjena, kar daje brani stabilnost in tišji tek, saj se pogonski zobniki vrtavk ne morejo prečno premikati. ",dajati
"Blanchard je imel močan udarec, prenesel jih je šest, da je zadal enega, in vedno je meril v glavo. ",imeti
Stopil sem z verande in jo mahnil nazaj na tlako; s 9+tolkačem ob stegnu sem si ves čas dajal ritem. ,dajati
"Bil sem kot v hobotničinem prijemu, brez sodnika in odrešilnega zvonca, in nagonsko sem izpustil pendrek, sklonil glavo in začel deliti udarce v telo. ",izpustiti
"Vznemiril sem se, vendar sem kljub temu izpljunil domislico, da pokažem Joslinu, kako vseeno mi je: »Premajhne zobe imaš. ",imeti
"Stopal sem proti parkirišču in v mislih izbiral med Pantryjem in Malim Joejem, ko sem s koncem očesa ujel svojega tekmeca – govoril je z žensko, ki je puhala dimne obročke v nebo, tako modro, kot bi ga snel z razglednice.",nebo
Valujoča meglica je visela nad ringom in soj žarometa izpod stropa ji je dajal žveplast sijaj. ,dajati
"Spravil sem se v avto, obrnil proti domu in se spraševal, če bom Kay sploh kdaj povedal, da nimam ženske, ker ima seks okus po krvi, kolofoniji in zašitih ranah.",imeti;imeti
"Bil sem sam, edini v šestem nadstropju. ",sam
"Poklical me je kapetan Harwell in mi povedal, da se moram na novo službeno dolžnost javiti v ponedeljek, 17. novembra ob 8. uri zjutraj, in da se bo dan začel z branjem poročila o zločinih prejšnjega tedna, ki je obvezno za vse osebje losangeleške policije in kriminalističnega oddelka pri tožilstvu. ",ura
Kaj imajo na prometni?«,imeti
Besede so se razlegale nad prizoriščem in vse glave so se obrnile proti nama. ,beseda
"Je imela Beth kakšnega fanta, ko je živela tukaj?«",imeti
"»Tega se dobro spomnim, ker se je prišla prijavit ravno takrat, ko smo v gruči sedeli tu in poslušali radijski program ob peti obletnici napada na Pearl Harbor.«",peti
Meni lahko poveste.«,lahko
Na postaji Hollywood sem izrabil svoj privilegirani položaj policaja za sodne naloge in takoj izdal dva: nalog za privedbo mladoletnice zaradi pobega od doma in prioritetni nalog za privedbo ključne priče na ime Lorna Martilkova/Linda Martin. ,postaja
"Papirje sem pustil pri načelniku dnevne izmene, ki mi je zatrdil, da bo ukaz za poizvedovanje v eni uri sporočen vsem patruljnim avtomobilom in da bo na naslov Pomarančna pot 1611 poslal več policistov, da izprašajo stanovalce o tem, kje vse bi Lorna/Linda lahko bila. ",ura;lahko
"Postaja Univerze je bila še ena izpostava manije, imenovane Črna Dalija.",postaja
"Komaj petnajst kurčevih let ima in če se ne boš odkrito zlajala, ti bom naprtil sodelovanje pri umoru in naslednjih pet let boš lahko lizala zaporniške pičke.«",imeti;lahko
Naslednje jutro se med vožnjo na postajo Univerze poslušal radio. ,postaja
Danes zjutraj so ga prijeli na prijateljevem domu v okraju South Gate in je zdaj v priporu na policijski postaji Hollenbeck v vzhodnem LA-ju zaradi zaslišanja. ,postaja
»Zmenek imam.«,imeti
"Naslednjo uro sem presedel za mizo in si ga predstavljal, kako se, ujetnik svojih prikazni, žre zaradi Bobbyja De Witta, in ne najde odrešitve, odkar so mu, »lovcu na duhove«, odvzeli primer Dalije. ",ura
"Po dveh urah in dvesto obrazcih sem bil pomirjen – njenega imena ni bilo med dvesto izprašanimi ljudmi, pa tudi prišepetovalci je niso privlekli na dan. ",ura
»Nič lažjega. ,lahek
"Poklicali smo avtobusno postajo v Santa Rosi in izvedeli, da De Witt ni kupil vozovnice za LA, ampak za San Diego in naprej za Tijuano. ",postaja
"Millard, nasprotje policaja Fritziejevega kova, pa je imel name še poseben vpliv. ",imeti
Prvič se je dogodilo po čistem naključju. ,čist
"Njene oči sem naredil modre namesto kostanjevih, njeno telo sem preoblikoval v Bettyjino iz porniča, v njena nema usta sem položil besede: »Prosim, ne.« ",beseda
"In potem je odrezavka zašepetala: »Vedela sem, da ji boš slej ko prej popustil,« jaz pa sem suho zaihtel, da so vse moje posteljne zgodbice ena sama laž in izcedil iz sebe edino pravo resnico o Leeju in Kay in Buckyju, vse do obsedenosti g. ",sam
"Ognjenega z mrtvim dekletom in njegove odločitve, da izgine z obličja Zemlje. ",mrtev
"Januar se je iztekel z deževnimi dnevi, ki jih je razburkal en sam dogodek. ",sam
Naslednji dan sem staknil tisto filipinsko prasico na avtobusni postaji. ,postaja
"Rekel sem, da ima Johnnie božanskega tiča in da bi morala ona plačati meni. ",imeti
"Misli, da lahko zajebava Johnieja Reda?«",lahko
"»Tehniki so izjavili, da v sobi ni niti ene sledi krvi in da v njej tudi ni tekoče vode, da bi lahko spral truplo. ",lahko
Zjutraj so ga odpustili in dve uri pozneje pobrali na postaji Penn. ,ura;postaja
Možak je čist.«,čist
Čez pol ure se dobiva na ulici North Havenhurst 1546.«,ura
Pogovoriva se lahko tukaj ali pa v ženskem zaporu.«,lahko
"»Vsi trije smo ugotovili, da imamo veliko skupnega. ",imeti
"Rekel je: »Nisva več partnerja,« in mi začel nakladati, da so peresno lahki najboljši v tehniki udarcev. ",lahek
"Zdaj pa poslušaj tole, če morebiti tega že sam ne veš. ",sam
"»Ne moreš prizadeti nekoga, ki je mrtev.«",mrtev
»Veliko slabega mu lahko storiš in veliko slabega lahko storiš nama.«,lahko;lahko
"Treščilo je vame z vso težo in črnino naslovnic, ki so mi zaplesale pred očmi, Kayine besede pa so citirale tekst v drobnem tisku: »Tistemu možaku je bilo ime Baxter Fitch. ",beseda
"Mislim tudi, da sta imela hudičevo srečo, da se nihče ni zapičil v to. ",imeti
ZLOČINCI : 0 TOČK,točka
Policaji nimajo iluzij.«,imeti
"Spustil sem ploho obtožb svojega usranega zakona in besed o tem, da bi me nočna izmena držala stran od žene. ",beseda
"Madeleine je povedala, da Emmett ni povsem brez skrbi glede bližajočega se rušenja hiš tam zgoraj ob napisu HOLLYWOODLAND, da materina nagnjenost k pompu in ljubezen do nenavadnih knjig in srednjeveških znanosti nista nič drugega kot »blodnje zadrogiranke – mama ima pač časa in patentiranih zdravil na pretek«. ",imeti
"»Mister, tri sobe imamo tukaj. ",imeti
"Ker sem vedel, da lahko le slike na steni zanetijo popolnost, sem potegnil stran rjuhe, ki so jih zakrivale.",lahko
"Govoril sem ji vse tiste prave in dovršene besede: »Samo to je, da ima ona toliko različnih imen, da sploh obstaja, in tista ženska zame noče postati ona, in jaz tudi ne znam biti tak kot ona, in vsakokrat, ko poskušam, vse uničim, in moj prijatelj je znorel, ker bi njegova sestrica lahko bila ona, če bi je nekdo ne ubil…«",beseda;imeti;lahko
"Sobo ima v domu za invalide na koncu ulice in če je on morilec, sem jaz papež.«",imeti
"Povedal ji je, da ima ciste na jajčnikih, ki sicer niso rakavega izvora, da pa nikoli ne bo mogla imeti otrok. ",imeti;imeti
Večino doktorjev sem zasačil v zgodnjih urah njihovega delovnega dne. ,ura
Imaš svinčnik pri roki?«,imeti
Madeleine je ob teh besedah dvignila pogled. ,beseda
"To, kar te veže nanj, je nekaj posebnega, kot bi imel mlajšega brata, ki je zaostal.«",imeti
"»Tistemu moškemu sem povedala o svoji lezbični sestri, kako je prejšnji večer v La Vernu spoznala policaja z imenom Bucky Bleichert in da ima nocoj zmenek z njim. ",imeti
"Bili so predaleč, da bi lahko razbrali besede, predstavljal pa sem si, da vzrok zanj pripisujejo otrokom, ali hipotekam, ali morda skoku čez plot. ",lahko;beseda
Imela sem eno zanikrno službo za drugo. ,imeti
"Obdelovali so me polne tri ure in gonil sem naprej pravljico, ki jo je začela Madeleine. ",ura
"Prepričljivost njene zgodbe in divji sloves, ki sem ga imel kot policist, sta mi pomagala prebroditi zaslišanje. ",imeti
"Lahko bi si govorila, kako krepostna sem, toda vso prejšnjo noč sem presedela v sobi in preštevala laži. ",lahko
"Obstaja mleko za čiščenje, ki ga lahko sperete z vodo, in mleko, ki ga lahko odstranite le s tonikom (takšno čistilno mleko vsebuje več maščob). ",lahko;lahko
"Pri vseh sredstvih za čiščenje obraza, ki jih lahko sperete z vodo, tonika ne potrebujete. ",lahko
"Če čistilnega mleka ne sperete s kože, le-ta ostane na njej in ima podoben učinek kot sredstvo, s katerim bi prali pulover, ki pa ga ne bi izprali.",imeti
"Če si podrobneje preberete lestvico sestavin na kremi za telo in kremi za obraz, boste gotovo opazili, da imata kar nekaj skupnih sestavin. ",imeti
"Kar pa ne pomeni, da ju lahko zamenjate med seboj. ",lahko
"Če obe kremi zagotavljata primerno vlažilnost kože in hranilne snovi, se kreme za obraz in tiste za telo med seboj razlikujejo po drugih vplivih, ki jih imajo na kožo.",imeti
S to vajo lahko nakopičite energijo. ,lahko
Nato se s kazalcem dotaknite najvišje točke lobanje. ,točka
"Položite nanjo prst in si predstavljajte, da ta točka postaja žarek bele svetlobe, ki potuje proti nebu. ",točka;nebo
"Nato kazalec odmaknite in si predstavljajte belo območje, ki vstopa skozi to točko in se razširja v vas, razliva svetlobo. ",točka
Z najsvetlejšo roza barvo lahko namažete tudi notranje kotičke spodnje veke. ,lahko
"Tudi letos je podjetje Beiersdorf poskrbel, da boste ob sebi imeli vse, kar vaša koža potrebuje. ",imeti
"Jaz pa se spominjam, da so imela dekleta včasih močnejše lase in kite ...",imeti
"Vse, kar obžalujem, je, da že v zgodnji mladosti nisem imela tega védenja o pomenu zdrave in uravnotežene prehrane in sem se s tem prvič srečala šele na fakulteti. ",imeti
"''Te se zdravnikom ne zdijo nevarne, vendar kažejo, da popolnega zdravja nimamo. ",imeti
"Iz omenjenih peg lahko sklepamo, da je nekaj takega tudi drugod po telesu: celice so poškodovane in ne delujejo več optimalno. ",lahko
"Pot do popolnega zdravja je tista, ki omogoča, da lahko presnovljena hrana, gradi telo in je hkrati tudi gorivo za vse življenjske procese.",lahko
"Potrebujemo: 450 g zrezkov kirnje, 3 bučke, 2 nasoljeni sardeli, drobnjak, limono, pomarančo in 1 nastrgan korenček za okras, kozarček lahkega jogurta, suho peneče se vino, olivno olje",lahek
"Šola, v kateri ličimo z ličili priznane znamke Barbare Bort, traja 4 ure, poteka pa v popoldansko-večernih urah, in sicer čez teden od 16. do 20. ure, ob sobotah pa v dopoldanskih urah, in sicer od 9. do 13. ure. ",ura;ura;ura;ura;ura
"V skupini je lahko največ deset udeleženk, šola ličenja v štirih urah oz. darilni bon za to šolo pa stane 8.000 SIT. ",lahko;ura
"Na voljo je tudi individualna šola ličenja, ki traja dve uri, stane pa 20.000 SIT, ter celovito stiliranje, pri katerem lahko korenito spremenimo celotno vašo podobo. ",ura;lahko
Darilni bon lahko naročite prek e-maila; katja.fasink@lepotainstil.net ali telefona 031-691-753. ,lahko
"Katja Fašink vam zagotavlja, da boste ob obisku tega nekajurnega programa zares znale naličiti in primerno urediti samo sebe. ",sam
"In ko sprejmemo, da sami ne vemo več, kako naprej…",sam
"Ni vedno slabo, da se človek zaveda svojih lastnih napak in slabosti (saj jih je tako lažje popraviti), toda pretirana negotovost ni niti malo dobrodošla in zaželena. ",lahko
Kako lahko sami doma izkoristite zdravilne učinke papaje? ,lahko;sam
"Vzrok tem težavam ni vedno astma, čeprav lahko za astmo otroci zbolijo že pred petim letom starosti. ",lahko
Nezdravljeno vnetje lahko vodi v trajne poškodbe dihalnih poti. ,lahko
"Simptome podobne astmi lahko opazimo pri kar nekaj boleznih, za katerimi obolevajo otroci. ",lahko
"Mamljiva ponudba zavarovalnice, ki ima le to napako, da je nekoliko morbidna - Račun je zelo natančen: če bi plačal 1900 tolarjev na mesec, bi leta 2003 dobil 178.000 tolarjev, če bi plačeval 2900, bi mi izplačali 271.000, če pa bi plačeval po 3500 tolarjev, bi se odrezal najbolje s 328.000 tolarji - Ne delajte samomora, da bi tako morda prej prišli do svojega denarja, zavarovalnica se je zavarovala... ",imeti
"- Oh, ko bi imel srečo in se ponesrečil - Izredna kakovost pri kopanju jam ali pomanjkanje pritožb?",imeti
"Potrkal je na okno in kratko vprašal, ali imamo zemljevid. ",imeti
"Ko mu ga je voznik razgrnil čez volan, je s prstom odločno pokazal na tri točke do nemške meje: ""Radar! ",točka
"Leta 1992 je Dnevnik med prvimi opozoril na to, da slovenski vojak ni sam po sebi dober samo zato, ker je slovenski. ",sam
"Vlade prihajajo in odhajajo in prej ali slej bodo na vodilna mesta prišli tudi ljudje, ki bodo imeli več posluha za otroke, za družine, za narod, ki za njih ne bo le nekaj statističnega, le ""toliko in toliko davkoplačevalcev prinese toliko denarja"" ter ""toliko in toliko volilcev da toliko glasov"".",imeti
"Zgodba se je začela, ko sem spoznala starega mača, če se temu lahko tako reče, kajti šteje jih blizu sedemdeset. ",lahko
"Koliko sem imela načrtov in lepih želja, sedaj pa se je vse razblinilo v nič, saj je bolezen spremenila tok mojega življenja.",imeti
"Na dan se nekaj kozarcev vode izgubi z dihanjem, kajti pljuča zahtevajo vlažen zrak. ",izgubiti
"V poprečnem jesenskem dnevu se je z dihanjem izgubi tri do štiri kozarce, v hladnem in suhem zimskem dnevu pa lahko tej količini pripišemo še dva do tri kozarce. ",izgubiti;lahko
"Semena, ki jih dodamo testu, dajejo prepečencu specifičnost okusa in posebne prehranske lastnosti- nenasičene maščobne kisline, v maščobah topne vitamine, pentozane in vlaknine. ",dajati
"polnozrnati grisini, grisini s sirom, z okusom pizze, grisini s sezamom in grisini posuti z grobo soljo ali rožmarinom.",grob
"AND, OR in NOT so predponske besede, ki nadomestijo privzeti operator",beseda
Vse iskane besede bodo pretvorjene v male črke,beseda
"Pretegnjena, neenakomerno obraščena stebla so znamenje, da rastlina nima dovolj svetlobe; prestavimo jo na svetlejši prostor, vendar ne na neposredno sonce.",imeti
"Poskrbimo, da rastlina ni izpostavljena prepihu ali nihanjem temperature, ki lahko upočasnijo njeno rast.",lahko
Moderna različice vključujejo oblike z dvojnimi in polnimi cvetovi ter valovitimi robovi cvetnih listov. ,oblika
Oblika 'Chimera' ima cvetove z močnimi progami različnih barv.,oblika;imeti
Navadno imajo mesnata stebla ali liste ali oboje: kaktusi npr. imajo mesnata stebla in majhne liste ali pa sploh nobenih listov.,imeti;imeti
"Če rastlina nima dovolj svetlobe, zbledi, listni peclji pa postanejo pretegnjeni. ",imeti
"Med njimi so Vriesea x poelmanni 'White Line' z bleščečimi zelenimi listi, ki imajo po sredini širok rumen pas; 'Marjan' z rumenimi ovršnimi listi, ki so pri dnu rdeče nadihnjeni; in 'Margot' s temnozelenimi listi in razvejanim cvetnim klasom.",imeti
"Japonske avkube prenesejo tudi določeno mero zanemarjanja, slabo svetlobo in prepihe, zato jih lahko posadimo v okenske zabojčke in v skupinske nasade listnatih rastlin v hladnem prostoru.",lahko
"RAZMNOŽEVANJE Spomladi posejemo semena, ki jih je pri bertolonijah obilo; lahko pa pripravimo tudi stebelne ali listne potaknjence.",lahko
"Rastlina ima bleščeče, temnozelene elipsaste liste z valovitimi robovi; dolgi so do 15 cm in široki 5 cm. ",imeti
"LONČNA MEŠANICA Na prsteni osnovi, z dodatkom grobega peska; zelo pomembno je dobro odcejanje.",grob
Šmarnice pa lahko tudi silimo; kupimo jih lahko kot lončnice ob skoraj vsakem letnem času. ,lahko;lahko
RAZMNOŽEVANJE Spomladi razdelimo in na novo posadimo korenine; kadar koli v letu lahko pripravimo 10 cm dolge stebelne potaknjence.,lahko
"Cotyledon orbiculata je rahlo višji in ima sivozelene, rdeče obrobljene, samo malo belo poprhnjene liste. ",imeti
"To prezimno ne posebno trdno rastlino pogosto gojijo na vrtnih obrobah, kajti njeni barviti okrogli cvetovi so primerni za sušenje; lahko pa jo gojimo tudi v lončkih na okenski polici.",lahko
"LONČNA MEŠANICA Na prsteni osnovi, z dodatkom grobega peska; pomembna je dobra prepustnost.",grob
Ti so temnozeleni in imajo purpurne ali vinskordeče lise; dolgi so ok. 13 cm. ,imeti
"Listi različic 'Variegatum' in 'Tricolor' imajo rožnate, smetanaste in purpurne lise. ",imeti
"O tem, ali rastlina potrebuje vodo, se najlaže prepričamo, če vtaknemo prst v lončno mešanico ali potežkamo lonček in ocenimo, koliko je še vlage v njem. ",lahko
Z zračnimi koreninami so lahko težave. ,lahko
"Rastline, kot so monstere in filodendroni, ki poženejo debele, mesnate korenine, potrebujejo močan, z mahom ovit kol, ki mora biti vedno vlažen, da lahko vanj napeljemo te korenine. ",lahko
"Pazimo, da s tem ne pokvarimo njene lepe oblike.",oblika
OBLIKE RASTLIN,oblika
"Posodo pustimo odprto še nekaj ur po sajenju, potem jo zapremo; če nimamo zamaška ali pokrova, raztegnemo čez odprtino gospodinjsko prosojno plastično folijo ali zapremo vrata terarija.",ura;imeti
Aechmea fasciata 'Purpurea' ima čudovite rjave liste s srebrnimi lisami; sivo-zeleni listi sorte 'Variegata' so po vsej dolžini prepredeni s smetanasto-rumenimi progami.,imeti
"Volnate uši pustijo na listih svoje izdajalske sledove kosmiče bele voskaste preje; koreninske volnate uši lahko napadejo korenine, to pa zavre rast.",lahko
"Anthurium andreanum ima široke voskaste ovršne liste, ki se tako svetijo, kot bi bili lakirani. ",imeti
"Prah odstranimo z listov tako, da jih orosimo s čisto vodo; izogibamo se brisanju z gobo, ker lahko poškodujemo nežno površino.",čist;lahko
Le malo vrtnih centrov in vrtnarij ima na zalogi ta sijajni pokončni grm vzrok za to je njegova počasna rast. ,imeti
"Rjave lise na listih lahko pomenijo, da je rastlina na prepišnem ali prehladnem prostoru. ",lahko
"Begonia masoniana, masonova begonija (korenikasta), ima globoko nagrbančene liste. ",imeti
"Ti so živozeleni in imajo v sredini mahagonijevo rdeč križ, ki spominja na nemški železni križec.",imeti
"Neoregelia 'Meyendorffii' je značilen neoregelijski križanec, ki ima liste razporejene v razmeroma ploščati rozeti. ",imeti
"Številne vrste orhidej postajajo vse bolj priljubljene kot rastline, ki jih lahko gojimo doma katleja je ena izmed njih. ",lahko
Veliko hibridov in varietet z imeni ima večje cvetove kot osnovna vrsta. ,imeti
"C. f. 'Etoile d'Or' ima limonastorumene jezičaste cvetove, 'Mary Wootton' pa rožnate.",imeti
"Cissus rhombifolia 'Ellen Danica' , hitro rastoča rombolistna vita, ima privlačne bleščeče trikrpaste liste in je nadvse primerna rastlina za viseče košare; zelo hitro preraste tudi leseno oporno ogrodje in postane ljubka pregrada.",imeti
"Clivia miniata 'Striata' ima pisane liste, vendar jo je težko dobiti.",imeti
"Žafrani, ki jih najpogosteje vidimo po domovih, so nizozemski hibridi, ki imajo večje in bolj pisane cvetove kot osnovna vrsta. ",imeti
"Listi so zeleno-belo progasti, čašasti cvetovi, ki poženejo pozimi in zgodaj spomladi, pa so lahko beli, rumeni, bronasti, vijoličasti ali celo črtasti.",lahko
"Med najboljšimi sortami za gojenje v lončkih so 'Pickwick' (na sliki), ki je bledoslezenaste barve in ima temnovijoličaste črte ter živooranžen pestič, srebrnkasto in ametistno modra 'Little dorrit', ki je eden največjih žafranov sploh, in 'Queen of the Blues' , ki ima velike slezenaste cvetove s svetlejšim robom.",imeti;imeti
Cvetovi ciklam so lahko črtasti. ,lahko
Češnjevordeči venčni listi velike ciklame imajo svetlejše rožnate proge. ,imeti
Odrasla rastlina lahko v eni sezoni požene do 100 cvetov. ,lahko
Po preteku tega časa jo lahko postavimo nazaj na staro mesto.,lahko
"Spomladi jih obrežemo, da popravimo obliko in košatost.",oblika
V zalistjih se lahko zaredijo volnate uši; redno pregledujemo liste.,lahko
"Osnovna vrsta in hibridi imajo jermenasta členkasta stebla brez listov, dolga do 60 cm in široka 5 cm, s štrlinami na robu. ",imeti
"RAZMNOŽEVANJE Sredi poletja pripravimo 1015 cm dolge stebelne potaknjence z vrha rastline: konca vtaknemo v vročo vodo, da zakrkneta, nato pa potaknjence sušimo 24 ur in jih na koncu posadimo v peskasto prst.",ura
"Večina fikusov ima vednozelene liste, čeprav so med njimi tudi nekatere pisane oblike. ",imeti;oblika
"So nadvse primerni za sobne rastline, tako da lahko za vsak kotiček najdemo primeren fikus. ",lahko
"- Rastline s popki ne prestavljamo, ker lahko popki odpadejo.",lahko
"Cvetovi so lahko rdeče, bele, lososne ali rožnate barve in so lahko progasti ali nadihnjeni z drugim odtenkom.",lahko;lahko
"Hipoest se hitro razvije v precej razgiban grm, zato redno ščipamo rastne vršičke, da ohranimo razmeroma strnjeno obliko. ",oblika
Močno dišečim cvetovom ena sama rastlina odišavi ves prostor včasih sledijo majhne črne jagode. ,sam
Listi lahko tudi odpadejo.,lahko
"V naravi cveti od pozne jeseni do zgodnje pomladi, toda gojitelji so z umetnim skrajševanjem dneva v poletnem času dosegli, da lahko cveti v katerem koli letnem času. ",lahko
